,WellName,SampleName,Amp,Off,EC50,AUC,rEC50,SEAmp,SEOff,SEEC50,SEauc,SErEC50,c^2,R^2,BSA
33,Sample112_33,S34,1.3946783347763372,0.04915216983819479,4.797532110590065,0.12786404105217525,0.20844050168889994,0.38167571860836,0.011224169648363019,1.5860370871878837,0.01300917586034565,0.3123130922451379,0.00022874155160665054,-47.337289788433836,0.236
34,Sample113_34,S35,1.8577185848729543,0.04083793487409382,0.028585216633542784,1.6674468546106778,34.983117770972875,0.07515076041746903,0.07284153436152573,0.004987398616269974,0.08124930897027867,5.428619888762375,0.003259961496931623,-148.07081585393124,0.274
35,Sample114_35,S36,0.7313984906968719,0.05084848381660481,4.797532110590065,0.06705457760979808,0.20844050168889994,0.21544305991932525,0.007623235047694922,1.686926780705663,0.01033848450904943,0.5701128623905618,0.00014284547866855833,-20.735001314746206,0.22
36,Sample115_36,S37,2.9247794094063493,0.03623286052541993,4.797532110590065,0.2681436322253218,0.20844050168889994,0.7459453183661802,0.015879797326675306,1.5049658240832027,0.028577126762263524,0.29394655216513715,0.0010098943472601637,-47.15236379125164,0.16
37,Sample116_37,S38,1.8021085193265431,0.010501935285320972,0.031515201338480923,1.6039938636622815,31.73071906664206,0.037358120189093666,0.04613118254586121,0.003308848671521307,0.042991929155955996,3.472261547399732,0.0006758527875203711,-685.7810395559102,0.213
38,Sample117_38,S39,6.743115909753047,0.03496509270386001,4.797532110590065,0.6182085345453581,0.20844050168889994,1.3445616988863787,0.025149202420907,1.1521548452051198,0.038195370577952636,0.14712397056853554,0.0016470389752795006,-154.12942751702317,0.621
39,Sample118_39,S40,0.33099211273044726,0.06158280003059368,4.797532110590065,0.030345340595614296,0.20844050168889994,0.14574449768513137,0.009274586645516957,1.9835644160848172,0.011315280852016826,3.014433665367643,0.00020617784446336785,-2.770466553717351,0.192
40,Sample119_40,S41,2.428816733784832,0.05333354859606267,4.797532110590065,0.2226737985477331,0.20844050168889994,0.797522428298782,0.028799325966374585,1.7829788492553462,0.03135936696913427,0.4817943482210861,0.0023388940691911426,-13.899714267685955,1.061
41,Sample12_41,S42,1.8249569296547188,-0.00037879069181718513,0.09679968958367696,1.3961248521400738,10.330611640397523,0.047530037952225594,0.03643073654927344,0.014851151511785496,0.040461265896385615,1.790620124321816,0.0014942063557191463,-329.85036622138466,0.214
42,Sample120_42,S43,2.1961553553530258,0.0529891072443044,0.3794672837307249,1.1205389381456743,2.6352732972616777,0.051119488109753496,0.012032021576926035,0.023172855810492228,0.017516915153892355,0.1656824894319784,0.00023344037592285235,-1983.2175038009602,0.212
43,Sample121_43,S44,5.452790208212738,0.013626198397784825,4.797532110590065,0.49991153776947744,0.20844050168889994,1.6758398001303254,0.03643563995038893,1.6968699816076296,0.05328047413370959,0.4988766291690508,0.00545545498884845,-30.26758086148304,0.407
44,Sample122_44,S45,1.7829568252191481,-0.010431965015579341,0.06551784014239086,1.4571708658536517,15.26301840577598,0.03734120763870687,0.0374242514593872,0.007816015280354608,0.04086093567755303,1.7878811511115131,0.0010206886566601254,-472.4647046187875,0.585
45,Sample123_45,S46,1.4881372514774118,0.04868602603135172,4.797532110590065,0.13643234993300005,0.20844050168889994,0.3711318983335831,0.009863307719176819,1.3600908826438478,0.012380087624089688,0.22931515301073233,0.000340717468521668,-36.13481452799467,1.301
46,Sample124_46,S47,3.5240110872777946,0.02779723172234229,4.797532110590065,0.32308116294376216,0.20844050168889994,1.1655287186126326,0.03692401126910258,1.7758115200029014,0.052089839405253247,0.6517518867285672,0.003994345108572051,-17.180422078241683,0.764
47,Sample125_47,S48,0.5517526613966783,0.05543326241531737,4.797532110590065,0.050584656826110186,0.20844050168889994,0.1542711836129205,0.004251290506006372,1.6114610630687363,0.006242194260983038,0.4119298479365533,3.9625898452201926e-05,-42.74781984458291,0.49
48,Sample126_48,S49,5.256273114958618,0.010017208158607318,4.797532110590065,0.4818948603373091,0.20844050168889994,1.6515204499338085,0.05123823603929418,1.7782369617853968,0.07644291954419986,0.5986843364188237,0.006419408979716687,-23.859808824182927,0.288
